نام درس,مقطع کلاس,ساعت امتحان,ت امتحان
آزمايشگاه الكترونيك ديجيتال,کارشناسي,0:00,/ /
آزمايشگاه پايگاه داده ها,کارشناسي,0:00,/ /
آزمايشگاه ريزپردازنده 1,کارشناسي,0:00,/ /
آزمايشگاه سيستم هاي عامل,کارشناسي,0:00,27/03/97
آزمايشگاه سيستم هاي عامل,کارشناسي,0:00,/ /
آزمايشگاه شبكه هاي كامپيوتري,کارشناسي,0:00,/ /
آزمايشگاه كامپيوتر,کارشناسي,0:00,/ /
آزمايشگاه مدار الكتريكي 1,کارشناسي,0:00,/ /
آزمايشگاه مدار هاي منطقي,کارشناسي,0:00,/ /
آزمايشگاه مدارهاي الكترونيكي,کارشناسي,0:00,/ /
آزمايشگاه مدارهاي الكتريكي,کارشناسي,0:00,/ /
آزمايشگاه مدارهاي منطقي و معماري كامپيوتر,کارشناسي,0:00,/ /
آزمايشگاه معماري كامپيوتر,کارشناسي,0:00,/ /
آزمون نرم افزار,کارشناسي,14:30,30/03/97
آمارواحتمالات مهندسي,کارشناسي,11:30,31/03/97
آمارواحتمالات مهندسي,کارشناسي,11:30,27/03/97
اصول طراحي پايگاه داده ها,کارشناسي,8:30,9/4/97
اصول طراحي كامپايلر,کارشناسي,8:30,4/4/97
اصول فناوري اطلاعات,کارشناسي,14:30,2/4/97
اصول مديريت و برنامه ريزي راهبردي فناوري اطلاعات,کارشناسي,14:30,3/4/97
اقتصاد مهندسي,کارشناسي,8:30,27/03/97
الكترونيك ديجيتال,کارشناسي,8:30,9/4/97
انتقال داده ها,کارشناسي,14:30,27/03/97
برنامه سازي پيشرفته,کارشناسي,8:30,4/4/97
برنامه نويسي هم روند,کارشناسي,8:30,4/4/97
پايگاه داده ها,کارشناسي,8:30,30/03/97
پايگاه داده ها,کارشناسي,8:30,9/4/97
پردازش موازي,کارشناسي ارشد,14:30,7/4/97
پروژه,کارشناسي,0:00,/ /
تحليل و طراحي سيستم ها,کارشناسي,8:30,6/4/97
تعامل انسان و كامپيوتر,کارشناسي,14:30,30/03/97
ذخيره وبازيابي اطلاعات,کارشناسي,8:30,27/03/97
روش پژوهش و ارائه,کارشناسي,8:30,10/4/97
روش هاي رسمي در مهندسي نرم افزار,کارشناسي,14:30,4/4/97
روشهاي محاسبات عددي,کارشناسي,11:30,4/4/97
رياضيات گسسته,کارشناسي,8:30,10/4/97
ريزپردازنده 1,کارشناسي,14:30,9/4/97
ريزپردازنده و زبان اسمبلي,کارشناسي,14:30,9/4/97
زبان تخصصي,کارشناسي,8:30,28/03/97
زبان ماشين وبرنامه سازي سيستم,کارشناسي,14:30,28/03/97
ساختمان داده ها,کارشناسي,8:30,30/03/97
ساختمان هاي داده,کارشناسي,8:30,30/03/97
ساختمانهاي گسسته,کارشناسي,8:30,10/4/97
سيستم هاي كنترل خطي,کارشناسي,8:30,3/4/97
سيستمهاي عامل,کارشناسي,14:30,2/4/97
سيگنال ها و سيستم ها,کارشناسي,14:30,4/4/97
شبكه هاي كامپيوتري,کارشناسي,8:30,28/03/97
شيوه ارائه مطالب علمي وفني,کارشناسي,14:30,5/4/97
طراحي شي گرا سيستمها,کارشناسي,8:30,28/03/97
طراحي الگوريتمها,کارشناسي,8:30,27/03/97
طراحي زبان هاي برنامه سازي,کارشناسي,14:30,5/4/97
طراحي سيستم هاي VLSI,کارشناسي,14:30,28/03/97
طراحي كامپيوتري سيستم هاي ديجيتال,کارشناسي,14:30,6/4/97
طراحي وپياده سازي زبانهاي برنامه سازي,کارشناسي,14:30,5/4/97
كارآفريني,کارشناسي,17:00,29/03/97
كارآموزي,کارشناسي,0:00,/ /
كارگاه عمومي,کارشناسي,0:00,/ /
كارگاه كامپيوتر,کارشناسي,0:00,/ /
گرافيك كامپيوتري,کارشناسي,14:30,27/03/97
گرافيك كامپيوتري 1,کارشناسي,14:30,27/03/97
گرافيك كامپيوتري 2,کارشناسي,14:30,27/03/97
مباني كامپيوتروبرنامه سازي,کارشناسي,14:30,3/4/97
محيطهاي چند رسانه اي,کارشناسي,8:30,6/4/97
محيطهاي چندرسانه اي,کارشناسي,8:30,6/4/97
مدار هاي الكتريكي 1,کارشناسي,8:30,3/4/97
مدارهاي الكترونيكي,کارشناسي,8:30,2/4/97
مدارهاي الكتريكي,کارشناسي,8:30,3/4/97
مدارهاي الكتريكي 2,کارشناسي,8:30,2/4/97
مدارهاي منطقي,کارشناسي,8:30,3/4/97
مدارهاي منطقي,کارشناسي,8:30,9/4/97
مديريت پروژه هاي فناوري اطلاعات,کارشناسي,8:30,29/03/97
معماري كامپيوتر,کارشناسي,8:30,2/4/97
مهندسي اينترنت,کارشناسي,14:30,5/4/97
مهندسي نرم افزار,کارشناسي,8:30,2/4/97
مهندسي نرم افزار1,کارشناسي,8:30,2/4/97
مهندسي نرم افزار2,کارشناسي,8:30,2/4/97
نظريه زبانهاوماشينها,کارشناسي,14:30,2/4/97
هوش مصنوعي,کارشناسي,8:30,5/4/97
هوش مصنوعي و سيستم هاي خبره,کارشناسي,8:30,5/4/97
هوش مصنوعي و سيستم هاي خبره,کارشناسي,18:30,5/4/97
